SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
255359,0.6048307735526316,25.0,20.0,5.0,16.0,6.0,10.0,-9.0,-14.0,5.0,explore
259141,0.5573769687719298,15.0,13.0,2.0,12.0,6.0,6.0,-3.0,-7.0,4.0,explore
259556,0.56296586,23.0,17.0,6.0,27.0,6.0,21.0,4.0,-11.0,15.0,exploit
260441,0.5705662218125,22.0,17.0,5.0,23.0,12.0,11.0,1.0,-5.0,6.0,exploit
260859,0.5736242556338028,23.0,18.0,5.0,18.0,18.0,0.0,-5.0,0.0,-5.0,exploit
261957,0.5745567125000001,22.0,16.0,6.0,25.0,7.0,18.0,3.0,-9.0,12.0,explore
265617,0.5695333208264463,19.0,18.0,1.0,25.0,9.0,16.0,6.0,-9.0,15.0,exploit
268194,0.5740413944642857,29.0,21.0,8.0,27.0,12.0,15.0,-2.0,-9.0,7.0,exploit
269224,0.6016245743283583,23.0,13.0,10.0,27.0,6.0,21.0,4.0,-7.0,11.0,explore
269608,0.5818187091935484,23.0,18.0,5.0,24.0,6.0,18.0,1.0,-12.0,13.0,explore
270094,0.5689438304733728,23.0,17.0,6.0,24.0,9.0,15.0,1.0,-8.0,9.0,explore
272262,0.5744586321333334,18.0,9.0,9.0,23.0,6.0,17.0,5.0,-3.0,8.0,explore
273563,0.5870880257142856,27.0,9.0,18.0,27.0,8.0,19.0,0.0,-1.0,1.0,exploit
274305,0.5905621956603774,25.0,16.0,9.0,30.0,8.0,22.0,5.0,-8.0,13.0,control
275657,0.5481520776923077,26.0,10.0,16.0,16.0,6.0,10.0,-10.0,-4.0,-6.0,control
277133,0.5809083046666667,23.0,16.0,7.0,22.0,9.0,13.0,-1.0,-7.0,6.0,control
277572,0.5685535152941176,29.0,13.0,16.0,17.0,6.0,11.0,-12.0,-7.0,-5.0,control
282831,0.5861941333333333,20.0,16.0,4.0,14.0,14.0,0.0,-6.0,-2.0,-4.0,control
295435,0.5787378960294118,25.0,10.0,15.0,21.0,6.0,15.0,-4.0,-4.0,0.0,exploit
296979,0.5609263209615385,27.0,15.0,12.0,20.0,6.0,14.0,-7.0,-9.0,2.0,control
301090,0.5750296932467532,22.0,11.0,11.0,18.0,6.0,12.0,-4.0,-5.0,1.0,explore
307264,0.5924802494736842,22.0,16.0,6.0,22.0,8.0,14.0,0.0,-8.0,8.0,explore
313398,0.5965407232,18.0,16.0,2.0,17.0,6.0,11.0,-1.0,-10.0,9.0,explore
318029,0.5775137581666667,23.0,14.0,9.0,21.0,10.0,11.0,-2.0,-4.0,2.0,exploit
320208,0.5580434710666666,13.0,25.0,-12.0,24.0,16.0,8.0,11.0,-9.0,20.0,exploit
328848,0.5773851971551724,22.0,14.0,8.0,27.0,7.0,20.0,5.0,-7.0,12.0,exploit
329600,0.5863414235714286,20.0,15.0,5.0,17.0,12.0,5.0,-3.0,-3.0,0.0,control
337769,0.560528255,18.0,22.0,-4.0,23.0,12.0,11.0,5.0,-10.0,15.0,explore
359204,0.6286592484,22.0,13.0,9.0,23.0,6.0,17.0,1.0,-7.0,8.0,exploit
371017,0.5840349235,23.0,16.0,7.0,14.0,12.0,2.0,-9.0,-4.0,-5.0,exploit
378434,0.5955918326666667,24.0,14.0,10.0,23.0,7.0,16.0,-1.0,-7.0,6.0,control
382504,0.5705217485,18.0,16.0,2.0,15.0,16.0,-1.0,-3.0,0.0,-3.0,explore
382505,0.58000249625,22.0,16.0,6.0,9.0,6.0,3.0,-13.0,-10.0,-3.0,exploit
390594,0.5609438329565217,19.0,20.0,-1.0,27.0,6.0,21.0,8.0,-14.0,22.0,exploit
391638,0.580592205875,25.0,14.0,11.0,26.0,7.0,19.0,1.0,-7.0,8.0,exploit
396840,0.5798093314285714,20.0,15.0,5.0,24.0,7.0,17.0,4.0,-8.0,12.0,control
397901,0.5841951121359223,20.0,17.0,3.0,30.0,10.0,20.0,10.0,-7.0,17.0,explore
404045,0.5785520284210526,20.0,11.0,9.0,20.0,9.0,11.0,0.0,-2.0,2.0,explore
410784,0.5876166177777777,26.0,11.0,15.0,29.0,8.0,21.0,3.0,-3.0,6.0,control
426733,0.5459631054545454,23.0,12.0,11.0,20.0,7.0,13.0,-3.0,-5.0,2.0,exploit
431861,0.6054248630434782,23.0,14.0,9.0,23.0,6.0,17.0,0.0,-8.0,8.0,control
432681,0.5559749668862276,18.0,15.0,3.0,16.0,6.0,10.0,-2.0,-9.0,7.0,exploit
440821,0.6032360634615385,23.0,15.0,8.0,21.0,9.0,12.0,-2.0,-6.0,4.0,exploit
442605,0.5699282244067797,16.0,23.0,-7.0,18.0,10.0,8.0,2.0,-13.0,15.0,control
445304,0.5818846424545454,18.0,17.0,1.0,30.0,6.0,24.0,12.0,-11.0,23.0,exploit
448989,0.5881893852941176,22.0,14.0,8.0,25.0,12.0,13.0,3.0,-2.0,5.0,explore
451102,0.5707070348979593,23.0,11.0,12.0,18.0,6.0,12.0,-5.0,-5.0,0.0,explore
461714,0.5756782289285713,24.0,11.0,13.0,26.0,6.0,20.0,2.0,-5.0,7.0,exploit
464297,0.5694204196551724,25.0,17.0,8.0,25.0,16.0,9.0,0.0,-1.0,1.0,control
465585,0.590932252,18.0,14.0,4.0,24.0,6.0,18.0,6.0,-8.0,14.0,explore
472913,0.5719813702739726,28.0,11.0,17.0,21.0,8.0,13.0,-7.0,-3.0,-4.0,explore
476638,0.5625156604201681,20.0,15.0,5.0,18.0,13.0,5.0,-2.0,-2.0,0.0,explore
481521,0.5619914657894737,25.0,10.0,15.0,18.0,7.0,11.0,-7.0,-3.0,-4.0,control
482924,0.56992041,19.0,20.0,-1.0,28.0,11.0,17.0,9.0,-9.0,18.0,control
492825,0.5899506412871287,21.0,16.0,5.0,21.0,12.0,9.0,0.0,-4.0,4.0,explore
495254,0.5844373802325582,29.0,16.0,13.0,24.0,7.0,17.0,-5.0,-9.0,4.0,exploit
496751,0.55745547,26.0,10.0,16.0,19.0,13.0,6.0,-7.0,3.0,-10.0,control
504005,0.5540180291780822,20.0,16.0,4.0,28.0,7.0,21.0,8.0,-9.0,17.0,control
513280,0.565594465078125,19.0,18.0,1.0,21.0,17.0,4.0,2.0,-1.0,3.0,explore
514869,0.5760590567768595,24.0,14.0,10.0,22.0,9.0,13.0,-2.0,-5.0,3.0,exploit
526645,0.591810681965812,24.0,16.0,8.0,25.0,7.0,18.0,1.0,-9.0,10.0,control
527924,0.5737263097647058,18.0,19.0,-1.0,23.0,14.0,9.0,5.0,-5.0,10.0,explore
551759,0.5718577009565217,25.0,12.0,13.0,19.0,7.0,12.0,-6.0,-5.0,-1.0,control
553910,0.5800862412903226,25.0,10.0,15.0,22.0,6.0,16.0,-3.0,-4.0,1.0,exploit
554266,0.5584312711363636,21.0,15.0,6.0,26.0,6.0,20.0,5.0,-9.0,14.0,exploit
562583,0.56116802109375,19.0,9.0,10.0,14.0,6.0,8.0,-5.0,-3.0,-2.0,explore
566603,0.5789119026086956,21.0,26.0,-5.0,21.0,6.0,15.0,0.0,-20.0,20.0,exploit
566635,0.5677382727941176,22.0,16.0,6.0,14.0,8.0,6.0,-8.0,-8.0,0.0,control
567234,0.5903116061290322,22.0,12.0,10.0,24.0,7.0,17.0,2.0,-5.0,7.0,explore
569486,0.5765024242666666,24.0,18.0,6.0,26.0,7.0,19.0,2.0,-11.0,13.0,control
571491,0.5856310512,25.0,7.0,18.0,16.0,7.0,9.0,-9.0,0.0,-9.0,control
578402,0.5820787145762711,25.0,14.0,11.0,18.0,12.0,6.0,-7.0,-2.0,-5.0,explore
594825,0.5769382099145299,22.0,17.0,5.0,22.0,14.0,8.0,0.0,-3.0,3.0,control
598908,0.571096996875,17.0,13.0,4.0,22.0,10.0,12.0,5.0,-3.0,8.0,explore
610382,0.5835634495555555,22.0,16.0,6.0,20.0,7.0,13.0,-2.0,-9.0,7.0,control
612428,0.58377665875,15.0,17.0,-2.0,25.0,14.0,11.0,10.0,-3.0,13.0,exploit
616497,0.578659154,24.0,13.0,11.0,22.0,6.0,16.0,-2.0,-7.0,5.0,control
620071,0.5826696512,15.0,19.0,-4.0,13.0,7.0,6.0,-2.0,-12.0,10.0,explore
632601,0.5729330779166667,23.0,14.0,9.0,18.0,12.0,6.0,-5.0,-2.0,-3.0,control
636532,0.5798982603125,21.0,17.0,4.0,26.0,8.0,18.0,5.0,-9.0,14.0,exploit
643457,0.5619240870833333,23.0,14.0,9.0,20.0,9.0,11.0,-3.0,-5.0,2.0,exploit
650665,0.5613801201818182,24.0,15.0,9.0,24.0,6.0,18.0,0.0,-9.0,9.0,control
660772,0.6022294214754098,17.0,15.0,2.0,26.0,6.0,20.0,9.0,-9.0,18.0,explore
661074,0.5962759263157895,17.0,19.0,-2.0,21.0,6.0,15.0,4.0,-13.0,17.0,control
674615,0.5811891221568627,23.0,21.0,2.0,20.0,17.0,3.0,-3.0,-4.0,1.0,control
683727,0.5660317178873239,9.0,22.0,-13.0,25.0,13.0,12.0,16.0,-9.0,25.0,control
685701,0.56770906975,25.0,12.0,13.0,14.0,6.0,8.0,-11.0,-6.0,-5.0,control
688468,0.5646291297345133,19.0,14.0,5.0,25.0,9.0,16.0,6.0,-5.0,11.0,explore
689043,0.5677937175000001,24.0,12.0,12.0,20.0,7.0,13.0,-4.0,-5.0,1.0,explore
690857,0.5851860829310345,20.0,12.0,8.0,14.0,6.0,8.0,-6.0,-6.0,0.0,explore
694133,0.5526704728571429,24.0,14.0,10.0,22.0,7.0,15.0,-2.0,-7.0,5.0,control
694299,0.5791942026436782,17.0,25.0,-8.0,22.0,12.0,10.0,5.0,-13.0,18.0,control
696373,0.5654685973333333,25.0,20.0,5.0,22.0,8.0,14.0,-3.0,-12.0,9.0,control
703958,0.5850466708139536,23.0,15.0,8.0,26.0,6.0,20.0,3.0,-9.0,12.0,control
705965,0.5749310144578313,22.0,19.0,3.0,21.0,10.0,11.0,-1.0,-9.0,8.0,control
706895,0.6280983498,25.0,11.0,14.0,27.0,6.0,21.0,2.0,-5.0,7.0,exploit
715202,0.5604625609302326,27.0,11.0,16.0,13.0,6.0,7.0,-14.0,-5.0,-9.0,control
721530,0.5798126647368421,22.0,12.0,10.0,24.0,11.0,13.0,2.0,-1.0,3.0,exploit
727626,0.5627264645762712,22.0,11.0,11.0,23.0,8.0,15.0,1.0,-3.0,4.0,exploit
728827,0.5603040667391305,20.0,15.0,5.0,23.0,12.0,11.0,3.0,-3.0,6.0,control
730978,0.6194105475,24.0,16.0,8.0,13.0,6.0,7.0,-11.0,-10.0,-1.0,control
737930,0.5654710826923076,22.0,12.0,10.0,28.0,6.0,22.0,6.0,-6.0,12.0,explore
748631,0.5833541532432432,24.0,13.0,11.0,6.0,15.0,-9.0,-18.0,2.0,-20.0,control
752013,0.568079230909091,23.0,19.0,4.0,24.0,10.0,14.0,1.0,-9.0,10.0,control
756517,0.5608899439999999,25.0,15.0,10.0,21.0,10.0,11.0,-4.0,-5.0,1.0,exploit
784170,0.5981723368292683,23.0,10.0,13.0,22.0,6.0,16.0,-1.0,-4.0,3.0,control
789389,0.5640979822077923,20.0,11.0,9.0,19.0,8.0,11.0,-1.0,-3.0,2.0,exploit
792000,0.5802005548039215,25.0,17.0,8.0,19.0,8.0,11.0,-6.0,-9.0,3.0,control
808558,0.5719946335576923,24.0,16.0,8.0,22.0,10.0,12.0,-2.0,-6.0,4.0,control
811602,0.5889616196296297,23.0,15.0,8.0,13.0,12.0,1.0,-10.0,-3.0,-7.0,exploit
819141,0.5606510991150442,26.0,16.0,10.0,25.0,7.0,18.0,-1.0,-9.0,8.0,exploit
825848,0.5765144842574258,24.0,10.0,14.0,23.0,6.0,17.0,-1.0,-4.0,3.0,control
828627,0.5820384998809525,21.0,14.0,7.0,18.0,6.0,12.0,-3.0,-8.0,5.0,exploit
832427,0.5844035413698629,20.0,16.0,4.0,18.0,12.0,6.0,-2.0,-4.0,2.0,exploit
835074,0.5583408493518518,24.0,12.0,12.0,22.0,6.0,16.0,-2.0,-6.0,4.0,control
840490,0.5863233333663367,19.0,18.0,1.0,20.0,12.0,8.0,1.0,-6.0,7.0,exploit
859923,0.568334685340909,19.0,14.0,5.0,13.0,10.0,3.0,-6.0,-4.0,-2.0,exploit
861963,0.5673729354545454,22.0,14.0,8.0,23.0,6.0,17.0,1.0,-8.0,9.0,exploit
865552,0.5547766700000001,16.0,18.0,-2.0,16.0,13.0,3.0,0.0,-5.0,5.0,exploit
