SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
260441,0.57056624,22.0,17.0,5.0,23.0,12.0,11.0,1.0,-5.0,6.0,exploit
260859,0.57362425,23.0,18.0,5.0,18.0,18.0,0.0,-5.0,0.0,-5.0,exploit
261957,0.5745567,22.0,16.0,6.0,25.0,7.0,18.0,3.0,-9.0,12.0,explore
265617,0.5695333,19.0,18.0,1.0,25.0,9.0,16.0,6.0,-9.0,15.0,exploit
268194,0.57404137,29.0,21.0,8.0,27.0,12.0,15.0,-2.0,-9.0,7.0,exploit
269224,0.60162455,23.0,13.0,10.0,27.0,6.0,21.0,4.0,-7.0,11.0,explore
269608,0.58181876,23.0,18.0,5.0,24.0,6.0,18.0,1.0,-12.0,13.0,explore
270094,0.57147944,23.0,17.0,6.0,24.0,9.0,15.0,1.0,-8.0,9.0,explore
272262,0.5744586,18.0,9.0,9.0,23.0,6.0,17.0,5.0,-3.0,8.0,explore
273563,0.5943321,27.0,9.0,18.0,27.0,8.0,19.0,0.0,-1.0,1.0,exploit
274305,0.5905622,25.0,16.0,9.0,30.0,8.0,22.0,5.0,-8.0,13.0,control
275657,0.5481521,26.0,10.0,16.0,16.0,6.0,10.0,-10.0,-4.0,-6.0,control
277133,0.5864227,23.0,16.0,7.0,22.0,9.0,13.0,-1.0,-7.0,6.0,control
277572,0.5685535,29.0,13.0,16.0,17.0,6.0,11.0,-12.0,-7.0,-5.0,control
282831,0.5861941,20.0,16.0,4.0,14.0,14.0,0.0,-6.0,-2.0,-4.0,control
295435,0.57873785,25.0,10.0,15.0,21.0,6.0,15.0,-4.0,-4.0,0.0,exploit
296979,0.5609263,27.0,15.0,12.0,20.0,6.0,14.0,-7.0,-9.0,2.0,control
301090,0.5750297,22.0,11.0,11.0,18.0,6.0,12.0,-4.0,-5.0,1.0,explore
307264,0.59248024,22.0,16.0,6.0,22.0,8.0,14.0,0.0,-8.0,8.0,explore
313398,0.5965407,18.0,16.0,2.0,17.0,6.0,11.0,-1.0,-10.0,9.0,explore
318029,0.5810054,23.0,14.0,9.0,21.0,10.0,11.0,-2.0,-4.0,2.0,exploit
320208,0.5580435,13.0,25.0,-12.0,24.0,16.0,8.0,11.0,-9.0,20.0,exploit
328848,0.5773852,22.0,14.0,8.0,27.0,7.0,20.0,5.0,-7.0,12.0,exploit
329600,0.58634144,20.0,15.0,5.0,17.0,12.0,5.0,-3.0,-3.0,0.0,control
337769,0.5605283,18.0,22.0,-4.0,23.0,12.0,11.0,5.0,-10.0,15.0,explore
359204,0.62865925,22.0,13.0,9.0,23.0,6.0,17.0,1.0,-7.0,8.0,exploit
371017,0.5840349,23.0,16.0,7.0,14.0,12.0,2.0,-9.0,-4.0,-5.0,exploit
378434,0.5955918,24.0,14.0,10.0,23.0,7.0,16.0,-1.0,-7.0,6.0,control
382504,0.5705217,18.0,16.0,2.0,15.0,16.0,-1.0,-3.0,0.0,-3.0,explore
