condition,sender_id,receiver_id,density
control,46657,5,0.5555555555555556
control,56660,6,0.6666666666666666
control,73830,5,0.5555555555555556
control,74141,5,0.5555555555555556
control,90684,8,0.8888888888888888
control,90887,6,0.6666666666666666
control,110325,9,1.0
control,126757,9,1.0
control,179220,6,0.6666666666666666
control,192992,8,0.8888888888888888
control,226077,1,0.1111111111111111
control,234381,5,0.5555555555555556
control,234448,5,0.5555555555555556
control,234888,7,0.7777777777777778
control,249310,4,0.4444444444444444
control,250067,1,0.1111111111111111
control,250908,5,0.5555555555555556
control,274305,4,0.4444444444444444
control,275657,3,0.3333333333333333
control,277133,6,0.6666666666666666
control,277572,4,0.4444444444444444
control,282831,2,0.2222222222222222
control,296979,1,0.1111111111111111
control,329600,2,0.2222222222222222
control,378434,5,0.5555555555555556
control,396840,8,0.8888888888888888
control,410784,5,0.5555555555555556
control,431861,7,0.7777777777777778
control,442605,8,0.8888888888888888
control,464297,5,0.5555555555555556
control,481521,5,0.5555555555555556
control,482924,9,1.0
control,496751,4,0.4444444444444444
control,504005,4,0.4444444444444444
control,526645,9,1.0
control,551759,9,1.0
control,566635,5,0.5555555555555556
control,569486,5,0.5555555555555556
control,571491,8,0.8888888888888888
control,594825,8,0.8888888888888888
control,610382,5,0.5555555555555556
control,616497,6,0.6666666666666666
control,632601,7,0.7777777777777778
control,650665,3,0.3333333333333333
control,661074,7,0.7777777777777778
control,674615,8,0.8888888888888888
control,683727,5,0.5555555555555556
control,685701,2,0.2222222222222222
control,694133,3,0.3333333333333333
control,694299,8,0.8888888888888888
control,696373,7,0.7777777777777778
control,703958,6,0.6666666666666666
control,705965,4,0.4444444444444444
control,715202,3,0.3333333333333333
control,728827,4,0.4444444444444444
control,730978,6,0.6666666666666666
control,748631,9,1.0
control,752013,9,1.0
control,784170,4,0.4444444444444444
control,792000,6,0.6666666666666666
control,808558,4,0.4444444444444444
control,825848,5,0.5555555555555556
control,835074,8,0.8888888888888888
control,879404,7,0.7777777777777778
control,902133,9,1.0
control,947980,8,0.8888888888888888
control,960096,3,0.3333333333333333
control,976819,7,0.7777777777777778
control,977710,5,0.5555555555555556
control,989044,4,0.4444444444444444
exploit,16853,5,0.5555555555555556
exploit,30397,8,0.8888888888888888
exploit,37695,1,0.1111111111111111
exploit,62483,4,0.4444444444444444
exploit,65882,9,1.0
exploit,65930,3,0.3333333333333333
exploit,79689,9,1.0
exploit,89877,9,1.0
exploit,94545,9,1.0
exploit,115963,8,0.8888888888888888
exploit,121131,6,0.6666666666666666
exploit,136117,2,0.2222222222222222
exploit,140700,7,0.7777777777777778
exploit,142465,6,0.6666666666666666
exploit,143242,9,1.0
exploit,147974,8,0.8888888888888888
exploit,179363,6,0.6666666666666666
exploit,188277,7,0.7777777777777778
exploit,196442,7,0.7777777777777778
exploit,236280,9,1.0
exploit,259556,5,0.5555555555555556
exploit,260441,8,0.8888888888888888
exploit,260859,4,0.4444444444444444
exploit,265617,8,0.8888888888888888
exploit,268194,4,0.4444444444444444
exploit,273563,5,0.5555555555555556
exploit,295435,8,0.8888888888888888
exploit,318029,9,1.0
exploit,320208,8,0.8888888888888888
exploit,328848,9,1.0
exploit,359204,6,0.6666666666666666
exploit,371017,3,0.3333333333333333
exploit,382505,2,0.2222222222222222
exploit,390594,7,0.7777777777777778
exploit,391638,7,0.7777777777777778
exploit,426733,3,0.3333333333333333
exploit,432681,8,0.8888888888888888
exploit,440821,3,0.3333333333333333
exploit,445304,9,1.0
exploit,461714,3,0.3333333333333333
exploit,495254,7,0.7777777777777778
exploit,514869,9,1.0
exploit,553910,9,1.0
exploit,554266,8,0.8888888888888888
exploit,566603,4,0.4444444444444444
exploit,612428,8,0.8888888888888888
exploit,636532,5,0.5555555555555556
exploit,643457,7,0.7777777777777778
exploit,706895,8,0.8888888888888888
exploit,721530,4,0.4444444444444444
exploit,727626,5,0.5555555555555556
exploit,756517,2,0.2222222222222222
exploit,789389,8,0.8888888888888888
exploit,811602,4,0.4444444444444444
exploit,819141,7,0.7777777777777778
exploit,828627,7,0.7777777777777778
exploit,832427,3,0.3333333333333333
exploit,840490,5,0.5555555555555556
exploit,859923,8,0.8888888888888888
exploit,861963,5,0.5555555555555556
exploit,865552,3,0.3333333333333333
exploit,910349,6,0.6666666666666666
exploit,916157,5,0.5555555555555556
exploit,923365,9,1.0
exploit,928513,5,0.5555555555555556
exploit,932208,8,0.8888888888888888
exploit,944735,4,0.4444444444444444
exploit,952103,9,1.0
exploit,953732,4,0.4444444444444444
exploit,981044,6,0.6666666666666666
explore,13560,6,0.6666666666666666
explore,18608,8,0.8888888888888888
explore,24405,9,1.0
explore,31392,8,0.8888888888888888
explore,47182,9,1.0
explore,65159,9,1.0
explore,67560,9,1.0
explore,68918,9,1.0
explore,76003,9,1.0
explore,97946,9,1.0
explore,106152,9,1.0
explore,108038,9,1.0
explore,119108,7,0.7777777777777778
explore,144933,8,0.8888888888888888
explore,167407,9,1.0
explore,168016,8,0.8888888888888888
explore,173913,6,0.6666666666666666
explore,176865,9,1.0
explore,183128,9,1.0
explore,186600,9,1.0
explore,220828,7,0.7777777777777778
explore,243614,5,0.5555555555555556
explore,255359,8,0.8888888888888888
explore,259141,4,0.4444444444444444
explore,261957,7,0.7777777777777778
explore,269224,8,0.8888888888888888
explore,269608,9,1.0
explore,270094,8,0.8888888888888888
explore,272262,6,0.6666666666666666
explore,301090,7,0.7777777777777778
explore,307264,7,0.7777777777777778
explore,313398,9,1.0
explore,337769,7,0.7777777777777778
explore,382504,6,0.6666666666666666
explore,397901,9,1.0
explore,404045,9,1.0
explore,448989,9,1.0
explore,451102,6,0.6666666666666666
explore,465585,7,0.7777777777777778
explore,472913,9,1.0
explore,476638,9,1.0
explore,492825,9,1.0
explore,513280,8,0.8888888888888888
explore,527924,9,1.0
explore,562583,7,0.7777777777777778
explore,567234,8,0.8888888888888888
explore,578402,9,1.0
explore,598908,7,0.7777777777777778
explore,620071,5,0.5555555555555556
explore,660772,9,1.0
explore,688468,9,1.0
explore,689043,9,1.0
explore,690857,9,1.0
explore,737930,7,0.7777777777777778
explore,869923,8,0.8888888888888888
explore,884325,7,0.7777777777777778
explore,903981,8,0.8888888888888888
explore,911655,9,1.0
explore,921274,8,0.8888888888888888
explore,924497,9,1.0
explore,925154,9,1.0
explore,931415,5,0.5555555555555556
explore,939559,9,1.0
explore,942298,7,0.7777777777777778
explore,951397,9,1.0
explore,953646,9,1.0
explore,963934,8,0.8888888888888888
explore,966678,7,0.7777777777777778
explore,981471,4,0.4444444444444444
explore,990670,8,0.8888888888888888
